Star1_ID,Star2_ID,AngularSeparation_rad
93805,57757,0.185602
93747,55219,0.185732
3821,68245,0.185782
87833,74666,0.185816
9236,75177,0.186088
81377,23875,0.186250
23015,68756,0.186331
25428,37819,0.186359
86742,50335,0.186676
53910,63090,0.186852
23015,50371,0.186978
94376,113726,0.187214
27989,8903,0.187412
59747,20042,0.187455
86742,6537,0.187496
25985,85670,0.187518
76267,23015,0.187528
71352,14354,0.187667
23875,13209,0.187679
45941,46853,0.187748
106032,76600,0.187881
32768,82545,0.188005
42913,27628,0.188044
25985,36188,0.188279
22549,63613,0.188423
76470,111169,0.188751
41704,93085,0.188768
80816,86974,0.188845
2081,46853,0.188936
47908,113726,0.189049
67464,6867,0.189131
112029,74395,0.189226
89642,86414,0.189258
102098,61359,0.189993
100751,16083,0.190126
27989,71795,0.190161
14135,41704,0.190247
59196,77952,0.190331
10602,77622,0.190449
59196,26634,0.190644
2081,84345,0.190740
113368,23875,0.190765
9236,33977,0.190845
65474,68756,0.190900
34444,80331,0.190909
50335,37229,0.191141
92855,78265,0.191215
9884,2021,0.191347
18543,50099,0.191388
18543,30867,0.192011
25930,42536,0.192133
14135,20042,0.192390
113368,45941,0.192415
102098,59803,0.192586
105199,14328,0.192588
68933,2081,0.192637
86228,17678,0.193070
54872,93194,0.193556
100345,17847,0.193647
746,80816,0.193720
18532,60260,0.193909
9640,94376,0.193926
107556,83081,0.193934
50335,7607,0.193997
38170,8102,0.194239
72607,112623,0.194273
60965,85727,0.194281
109268,89962,0.194294
65378,47908,0.194724
26311,47908,0.194752
26311,92041,0.194836
107315,66249,0.194871
8886,67464,0.194939
65378,50335,0.195162
74395,86929,0.195475
80331,112158,0.195479
56561,110960,0.195525
92041,32759,0.195643
2081,23015,0.195680
26727,17847,0.195737
25281,68282,0.195793
50371,57757,0.196055
102098,55219,0.196434
35350,17499,0.196510
7588,6686,0.196594
39429,4427,0.197139
5364,106985,0.197143
46701,16083,0.197154
4427,69996,0.197294
57632,50583,0.197302
67472,57757,0.197364
25606,104732,0.197366
68002,111169,0.197395
10602,42828,0.197485
65474,93506,0.197515
109074,88771,0.197699
32349,89642,0.197722
85727,13209,0.197779
8886,87261,0.197890
86670,7607,0.198275
74785,112724,0.198280
102098,109492,0.198449
113726,77622,0.198498
80763,9640,0.198565
65474,106032,0.198629
85670,14354,0.198644
41037,84012,0.198800
24608,81377,0.198899
61941,50335,0.198935
21281,93805,0.198982
37279,27288,0.199003
36188,14354,0.199385
26241,18246,0.199386
14576,35550,0.199442
87833,46853,0.199649
86228,8903,0.199719
45238,87073,0.199764
52419,42828,0.199821
50099,45080,0.199828
28360,60965,0.199871
61359,82729,0.200007
42913,109492,0.200061
61932,85670,0.200118
42913,92420,0.200195
62322,92420,0.200329
57632,68933,0.200642
68933,50371,0.200653
59747,41704,0.200671
18246,54879,0.200817
86742,113726,0.200837
71352,109492,0.200863
75695,68282,0.200901
102098,106032,0.200916
61359,23015,0.201521
64962,14354,0.201700
5165,93864,0.201713
84345,86414,0.201853
61359,106032,0.201905
26634,26551,0.202075
14354,85727,0.202086
71352,23875,0.202197
71352,36188,0.202500
15863,93864,0.202610
112623,10602,0.202703
113368,55219,0.202706
74946,59316,0.202902
93747,50371,0.203060
100751,111169,0.203250
42913,55219,0.203429
